Reference, Value, Footprint, Datasheet
"J5","PWR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3","MOTOR","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J2","HALL","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"C2","0.1u","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1N4148","Diode_SMD:D_0805_2012Metric","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D2","1N4148","Diode_SMD:D_0805_2012Metric","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"R6","100R","Resistor_SMD:R_0805_2012Metric","~"
"C7","0.22u","Capacitor_SMD:C_0805_2012Metric","~"
"C8","10n","Capacitor_SMD:C_0805_2012Metric","~"
"R5","1R","Resistor_SMD:R_0805_2012Metric","~"
"R1","100K","Resistor_SMD:R_0805_2012Metric","~"
"C1","5.6n","Capacitor_SMD:C_0805_2012Metric","~"
"R8","1K","Resistor_SMD:R_0805_2012Metric","~"
"R9","47K","Resistor_SMD:R_0805_2012Metric","~"
"C10","10n","Capacitor_SMD:C_0805_2012Metric","~"
"R4","33K","Resistor_SMD:R_0805_2012Metric","~"
"C6","1n","Capacitor_SMD:C_0805_2012Metric","~"
"R2","56K","Resistor_SMD:R_0805_2012Metric","~"
"R3","15K","Resistor_SMD:R_0805_2012Metric","~"
"C5","0.1u","Capacitor_SMD:C_0805_2012Metric","~"
"R10","10K","Resistor_SMD:R_0805_2012Metric","~"
"R11","10K","Resistor_SMD:R_0805_2012Metric","~"
"R12","10K","Resistor_SMD:R_0805_2012Metric","~"
"J1","CONTROL","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"C3","100u","Capacitor_THT:C_Radial_D8.0mm_H7.0mm_P3.50mm","~"
"R7","1R","Resistor_SMD:R_0805_2012Metric","~"
"R13","1R","Resistor_SMD:R_0805_2012Metric","~"
"U1","L6235PD","reprapltd-kicad:SOIC-36_11mmx16mmx3.6mm",""
"IC1","7805DT","Package_TO_SOT_SMD:TO-252-2",""
"C4","0.1u","Capacitor_SMD:C_0805_2012Metric","~"
"C9","100u","Capacitor_THT:C_Radial_D8.0mm_H7.0mm_P3.50mm","~"
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
